chr	start	end	index	arm	eigenvector	compartment
chr18	0	200000	1	1	-0.000847404	2
chr18	200000	400000	2	1	0.133628152	1
chr18	400000	600000	3	1	0.128492815	1
chr18	600000	800000	4	1	0.112719884	1
chr18	800000	1000000	5	1	-0.02284763	2
chr18	1000000	1200000	6	1	-0.13754954	2
chr18	1200000	1400000	7	1	-0.131243829	2
chr18	1400000	1600000	8	1	-0.13611402	2
chr18	1600000	1800000	9	1	-0.132588125	2
chr18	1800000	2000000	10	1	-0.146670289	2
chr18	2000000	2200000	11	1	-0.119557771	2
chr18	2200000	2400000	12	1	-0.079661463	2
chr18	2400000	2600000	13	1	-0.021671497	2
chr18	2600000	2800000	14	1	0.141286374	1
chr18	2800000	3000000	15	1	0.140920443	1
chr18	3000000	3200000	16	1	0.132552424	1
chr18	3200000	3400000	17	1	0.151161865	1
chr18	3400000	3600000	18	1	0.130061941	1
chr18	3600000	3800000	19	1	0.159473966	1
chr18	3800000	4000000	20	1	0.089646517	1
chr18	4000000	4200000	21	1	-0.111814908	2
chr18	4200000	4400000	22	1	-0.141113694	2
chr18	4400000	4600000	23	1	-0.132480635	2
chr18	4600000	4800000	24	1	-0.130973608	2
chr18	4800000	5000000	25	1	-0.146100688	2
chr18	5000000	5200000	26	1	-0.151586071	2
chr18	5200000	5400000	27	1	-0.094518775	2
chr18	5400000	5600000	28	1	0.088942254	1
chr18	5600000	5800000	29	1	-0.120541502	2
chr18	5800000	6000000	30	1	-0.09147713	2
chr18	6000000	6200000	31	1	-0.100220303	2
chr18	6200000	6400000	32	1	-0.139303614	2
chr18	6400000	6600000	33	1	-0.134255965	2
chr18	6600000	6800000	34	1	-0.032879356	2
chr18	6800000	7000000	35	1	-0.109510251	2
chr18	7000000	7200000	36	1	-0.039433842	2
chr18	7200000	7400000	37	1	-0.104441428	2
chr18	7400000	7600000	38	1	-0.035380785	2
chr18	7600000	7800000	39	1	0.020552702	1
chr18	7800000	8000000	40	1	0.137604666	1
chr18	8000000	8200000	41	1	0.111080906	1
chr18	8200000	8400000	42	1	0.09669149	1
chr18	8400000	8600000	43	1	-0.017843271	2
chr18	8600000	8800000	44	1	0.168855518	1
chr18	8800000	9000000	45	1	0.160476649	1
chr18	9000000	9200000	46	1	0.155161306	1
chr18	9200000	9400000	47	1	0.157890126	1
chr18	9400000	9600000	48	1	0.164870699	1
chr18	9600000	9800000	49	1	0.163719847	1
chr18	9800000	10000000	50	1	0.147901343	1
chr18	10000000	10200000	51	1	0.019776034	1
chr18	10200000	10400000	52	1	-0.024512128	2
chr18	10400000	10600000	53	1	0.046660074	1
chr18	10600000	10800000	54	1	-0.082864037	2
chr18	10800000	11000000	55	1	-0.033867916	2
chr18	11000000	11200000	56	1	-0.055258901	2
chr18	11200000	11400000	57	1	-0.008637062	2
chr18	11400000	11600000	58	1	-0.060688681	2
chr18	11600000	11800000	59	1	-0.055685978	2
chr18	11800000	12000000	60	1	0.077391609	1
chr18	12000000	12200000	61	1	0.031543417	1
chr18	12200000	12400000	62	1	0.155221982	1
chr18	12400000	12600000	63	1	0.166205757	1
chr18	12600000	12800000	64	1	0.144891523	1
chr18	12800000	13000000	65	1	0.146731659	1
chr18	13000000	13200000	66	1	0.075999458	1
chr18	13200000	13400000	67	1	-0.11152266	2
chr18	13400000	13600000	68	1	-0.10524546	2
chr18	13600000	13800000	69	1	-0.059346408	2
chr18	13800000	14000000	70	1	-0.143019	2
chr18	14000000	14200000	71	1	-0.12801304	2
chr18	14200000	14400000	72	1	-0.109501547	2
chr18	14400000	14600000	73	1	-0.109783127	2
chr18	14600000	14800000	74	1	-0.117365366	2
chr18	14800000	15000000	75	1	-0.122986559	2
chr18	15000000	15200000	76	1	-0.096282066	2
chr18	15200000	15400000	77	1	-0.082299995	2
chr18	15400000	15600000	78	1	0	0
chr18	15600000	15800000	79	1	0	0
chr18	15800000	16000000	80	1	0	0
