chr	start	end	index	arm	eigenvector	compartment
chr18	0	200000	1	1	0.069148004	1
chr18	200000	400000	2	1	0.110635865	1
chr18	400000	600000	3	1	0.117847857	1
chr18	600000	800000	4	1	0.103984491	1
chr18	800000	1000000	5	1	-0.000620702	2
chr18	1000000	1200000	6	1	-0.088880244	2
chr18	1200000	1400000	7	1	-0.150144369	2
chr18	1400000	1600000	8	1	-0.138765896	2
chr18	1600000	1800000	9	1	-0.15370104	2
chr18	1800000	2000000	10	1	-0.138697595	2
chr18	2000000	2200000	11	1	-0.057883346	2
chr18	2200000	2400000	12	1	-0.009436717	2
chr18	2400000	2600000	13	1	0.014758863	1
chr18	2600000	2800000	14	1	0.108958426	1
chr18	2800000	3000000	15	1	0.139615672	1
chr18	3000000	3200000	16	1	0.140959594	1
chr18	3200000	3400000	17	1	0.168720348	1
chr18	3400000	3600000	18	1	0.163119671	1
chr18	3600000	3800000	19	1	0.125421153	1
chr18	3800000	4000000	20	1	0.118083669	1
chr18	4000000	4200000	21	1	-0.158254813	2
chr18	4200000	4400000	22	1	-0.165696072	2
chr18	4400000	4600000	23	1	-0.138875974	2
chr18	4600000	4800000	24	1	-0.146531049	2
chr18	4800000	5000000	25	1	-0.164036046	2
chr18	5000000	5200000	26	1	-0.126793617	2
chr18	5200000	5400000	27	1	-0.112864752	2
chr18	5400000	5600000	28	1	0.042365112	1
chr18	5600000	5800000	29	1	-0.149945019	2
chr18	5800000	6000000	30	1	-0.093356829	2
chr18	6000000	6200000	31	1	-0.038048032	2
chr18	6200000	6400000	32	1	-0.160837912	2
chr18	6400000	6600000	33	1	-0.148353211	2
chr18	6600000	6800000	34	1	-0.10357891	2
chr18	6800000	7000000	35	1	-0.113944681	2
chr18	7000000	7200000	36	1	-0.070442236	2
chr18	7200000	7400000	37	1	-0.053414721	2
chr18	7400000	7600000	38	1	0.012111844	1
chr18	7600000	7800000	39	1	0.096839506	1
chr18	7800000	8000000	40	1	0.158208542	1
chr18	8000000	8200000	41	1	0.114671829	1
chr18	8200000	8400000	42	1	0.08873131	1
chr18	8400000	8600000	43	1	-0.05565798	2
chr18	8600000	8800000	44	1	0.169387581	1
chr18	8800000	9000000	45	1	0.158962036	1
chr18	9000000	9200000	46	1	0.185012426	1
chr18	9200000	9400000	47	1	0.150255376	1
chr18	9400000	9600000	48	1	0.177024102	1
chr18	9600000	9800000	49	1	0.153724025	1
chr18	9800000	10000000	50	1	0.123011122	1
chr18	10000000	10200000	51	1	0.027346383	1
chr18	10200000	10400000	52	1	-0.044879868	2
chr18	10400000	10600000	53	1	0.043256956	1
chr18	10600000	10800000	54	1	-0.08493169	2
chr18	10800000	11000000	55	1	-0.028721695	2
chr18	11000000	11200000	56	1	0.043707297	1
chr18	11200000	11400000	57	1	-0.041500452	2
chr18	11400000	11600000	58	1	-0.066732054	2
chr18	11600000	11800000	59	1	-0.088190436	2
chr18	11800000	12000000	60	1	0.07634759	1
chr18	12000000	12200000	61	1	-0.040972706	2
chr18	12200000	12400000	62	1	0.137430448	1
chr18	12400000	12600000	63	1	0.164330826	1
chr18	12600000	12800000	64	1	0.127447772	1
chr18	12800000	13000000	65	1	0.120233632	1
chr18	13000000	13200000	66	1	-0.023031864	2
chr18	13200000	13400000	67	1	-0.115462445	2
chr18	13400000	13600000	68	1	-0.101972194	2
chr18	13600000	13800000	69	1	-0.036008546	2
chr18	13800000	14000000	70	1	-0.15669698	2
chr18	14000000	14200000	71	1	-0.126581469	2
chr18	14200000	14400000	72	1	-0.133572371	2
chr18	14400000	14600000	73	1	-0.04502675	2
chr18	14600000	14800000	74	1	-0.054443469	2
chr18	14800000	15000000	75	1	-0.106679818	2
chr18	15000000	15200000	76	1	-0.057871078	2
chr18	15200000	15400000	77	1	-0.085890271	2
chr18	15400000	15600000	78	1	0	0
chr18	15600000	15800000	79	1	0	0
chr18	15800000	16000000	80	1	0	0
chr18	16000000	16200000	81	1	0	0
chr18	16200000	16400000	82	1	0	0
chr18	16400000	16600000	83	1	0	0
chr18	16600000	16800000	84	1	0	0
chr18	16800000	17000000	85	1	0	0
chr18	17000000	17200000	86	2	0	0
chr18	17200000	17400000	87	2	0	0
chr18	17400000	17600000	88	2	0	0
chr18	17600000	17800000	89	2	0	0
chr18	17800000	18000000	90	2	0	0
chr18	18000000	18200000	91	2	0	0
chr18	18200000	18400000	92	2	0	0
chr18	18400000	18600000	93	2	0	0
chr18	18600000	18800000	94	2	0.058402363	1
chr18	18800000	19000000	95	2	0.033127857	1
chr18	19000000	19200000	96	2	0.059042981	1
chr18	19200000	19400000	97	2	0.075032547	1
chr18	19400000	19600000	98	2	0.079895384	1
chr18	19600000	19800000	99	2	0.083325039	1
chr18	19800000	20000000	100	2	0.08694313	1
chr18	20000000	20200000	101	2	0.088897246	1
chr18	20200000	20400000	102	2	0.079480125	1
chr18	20400000	20600000	103	2	0.088419788	1
chr18	20600000	20800000	104	2	0.087297967	1
chr18	20800000	21000000	105	2	0.083775979	1
chr18	21000000	21200000	106	2	0.088128026	1
chr18	21200000	21400000	107	2	0.083760639	1
chr18	21400000	21600000	108	2	0.078729998	1
chr18	21600000	21800000	109	2	0.070952837	1
chr18	21800000	22000000	110	2	0.049405098	1
chr18	22000000	22200000	111	2	-0.006176448	2
chr18	22200000	22400000	112	2	-0.018562766	2
chr18	22400000	22600000	113	2	-0.027677235	2
chr18	22600000	22800000	114	2	-0.002945905	2
chr18	22800000	23000000	115	2	0.021599646	1
chr18	23000000	23200000	116	2	-0.006307323	2
chr18	23200000	23400000	117	2	0.011308263	1
chr18	23400000	23600000	118	2	-0.00794978	2
chr18	23600000	23800000	119	2	0.020641928	1
chr18	23800000	24000000	120	2	-0.032929883	2
chr18	24000000	24200000	121	2	0.026229592	1
chr18	24200000	24400000	122	2	-0.055444998	2
chr18	24400000	24600000	123	2	-0.069707246	2
chr18	24600000	24800000	124	2	-0.07611304	2
chr18	24800000	25000000	125	2	-0.073155856	2
chr18	25000000	25200000	126	2	-0.064488482	2
chr18	25200000	25400000	127	2	0.033706693	1
chr18	25400000	25600000	128	2	0.075199193	1
chr18	25600000	25800000	129	2	0.078150327	1
chr18	25800000	26000000	130	2	0.042508209	1
chr18	26000000	26200000	131	2	0.045289011	1
chr18	26200000	26400000	132	2	0.059553684	1
chr18	26400000	26600000	133	2	0.044093203	1
chr18	26600000	26800000	134	2	0.050915004	1
chr18	26800000	27000000	135	2	0.0039444	1
chr18	27000000	27200000	136	2	0.012315131	1
chr18	27200000	27400000	137	2	-0.003573796	2
chr18	27400000	27600000	138	2	-0.029259778	2
chr18	27600000	27800000	139	2	-0.01822198	2
chr18	27800000	28000000	140	2	-0.026182543	2
chr18	28000000	28200000	141	2	-0.047304646	2
chr18	28200000	28400000	142	2	-0.064039725	2
chr18	28400000	28600000	143	2	-0.05025388	2
chr18	28600000	28800000	144	2	-0.004405286	2
